,Ig9373,Ig9374,Ig9375,Ig9376,Ig9377,Ig9378,Ig9379,Ig9380,Ig9381,Ig9382,Ig9383,Ig9384,Ig9385,Ig9386,Ig9387,Ig9388,Ig9389,Ig9390,Ig9391,Ig9392,Ig9393,Ig9394,Ig9395,Ig9396,Ig9397,Ig9398,Ig9399,Ig9400,Ig9401,Ig9402,Ig9403,Ig9404,Ig9405,Ig9406,Ig9407,Ig9408,Ig9409,Ig9410,Ig9411,Ig9412,Ig9413,Ig9414,Ig9415,Ig9416,Ig9417,Ig9418,Ig9419,Ig9420,Ig9421,Ig9422,Ig9423,Ig9424,Ig9425,Ig9426,Ig9427,Ig9428,Ig9429,Ig9430,Ig9431,Ig9432,Ig9433,Ig9434,Ig9435,Ig9436,Ig9437,Ig9438,Ig9439,Ig9440,Ig9441,Ig9442,Ig9459,Ig9460,Ig9461,Ig9462,Ig9463,Ig9464,Ig9465,Ig9466,Ig9467,Ig9468,Ig9469,Ig9470,Ig9471,Ig9472,Ig9473,Ig9474,Ig9475,Ig9476,Ig9477,Ig9478
Cluster_3304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,61,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Cluster_3380,0,13,162,4,9,2,55,0,93,28,10,32,0,34,0,56,52,5,6,55,0,14,7,73,7,25,6,20,3,66,10,2,119,40,44,20,1,158,38,0,111,32,71,14,67,23,0,1,70,7,24,67,96,1,20,34,21,105,94,71,14,62,33,105,88,6,22,63,47,62,19,12,12,1,12,12,27,43,0,5,3,94,45,18,9,96,29,0,54,110
Cluster_3392,19,0,15,1,0,0,3,1,19,5,0,0,12,0,0,6,4,5,4,1,7,2,0,6,0,0,0,3,0,4,0,1,0,60,0,1,0,4,2,0,2,6,2,16,1,0,15,0,5,1,1,14,34,4,4,0,3,2,20,1,3,8,3,1,16,10,2,0,0,7,2,6,4,1,0,0,35,11,6,2,0,3,3,9,3,6,14,0,5,19
Cluster_3396,0,2,5,4,26,0,1,0,0,0,1,10,0,0,0,6,12,0,6,24,1,1,1,10,1,4,0,0,0,1,4,0,0,0,2,0,6,25,3,6,6,2,4,3,3,2,5,0,2,1,1,4,1,2,2,2,2,4,1,4,0,2,1,0,6,2,3,0,2,6,4,20,0,1,13,3,1,11,0,2,0,4,11,1,0,1,2,0,5,1
Cluster_3408,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,1,5,7,0,10,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,1,0,4,3,0,3,0,0,0,0,0,0,0,0,0,2,1,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,5,0,2,0,0,0,0,1,0
Cluster_3413,1,5,9,1,2,4,2,0,0,3,0,0,1,5,2,0,1,1,0,11,0,1,0,0,1,4,3,5,2,6,0,0,1,1,1,9,1,5,1,0,1,0,1,4,1,1,1,6,4,0,0,0,0,3,6,0,4,4,2,1,9,2,2,3,0,0,1,1,0,13,6,0,1,0,1,2,7,0,2,1,0,2,1,2,1,2,7,0,0,2
Cluster_3414,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,8,0,0,0,0,3,0,1,0,0,6,166,0,0,8,1,29,1,0,12,0,1,0,23,0,0,16,28,0,0,0,0,0,0,5,1,9,13,0,1,0,4,0,0,0,1,0,0,0,0,11,0,0,28,0,10,0,1,0,0,0,0,4,0,0,2,0,0,1,15,0
Cluster_3427,5,0,9,0,0,1,10,6,70,16,0,0,4,6,0,16,0,2,4,3,14,0,0,11,1,1,49,4,1,6,0,0,6,0,7,1,1,1,2,8,5,2,0,0,0,0,163,5,8,10,1,11,0,14,6,0,0,6,3,1,3,5,4,2,6,0,7,22,0,3,6,0,1,3,0,0,7,6,14,0,0,2,4,0,9,0,0,0,1,28
Cluster_3430,6,2,2,0,0,1,1,1,11,2,0,0,5,0,0,2,0,2,2,0,6,1,0,1,0,0,0,1,0,2,0,0,1,8,1,1,0,0,0,0,1,2,0,4,0,0,6,0,5,7,1,6,8,4,7,0,1,1,7,0,3,2,3,0,6,1,3,0,0,7,1,8,1,1,0,0,22,0,1,1,0,2,3,1,2,1,3,0,2,6
Cluster_3452,0,16,0,1,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,15,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cluster_3453,0,2,14,2,4,0,15,0,10,7,0,3,0,14,1,4,1,1,5,32,1,1,7,7,4,2,0,0,17,1,0,7,4,18,24,4,0,8,6,4,10,9,2,12,8,7,2,0,24,7,2,3,28,9,10,16,16,6,3,17,8,17,34,6,8,2,6,17,1,10,3,0,6,0,8,3,1,9,0,0,6,24,13,5,7,5,10,2,9,41
